                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5166,                0.80809,                 1.4001,                 1.5686,                0.93058,                 1.3979,                 0.9188,                0.84876,                0.92078,                0.53818,                 1.4695,                0.69259,                 1.4839,                 1.5057,                0.69868,                 1.4955,               0.003763,               0.003763,               0.003763
                     66,                 1.5111,                 0.8027,                 1.3938,                 1.5615,                0.92413,                 1.3912,                0.91722,                0.85041,                0.92196,                 0.5401,                 1.4692,                0.69022,                 1.4834,                 1.5034,                0.69268,                 1.4931,               0.003664,               0.003664,               0.003664
                     67,                 1.5094,                0.79908,                 1.3953,                 1.5597,                0.91592,                 1.3924,                0.92178,                0.85657,                 0.9236,                0.54069,                 1.4676,                0.68812,                 1.4825,                 1.5048,                  0.685,                 1.4932,               0.003565,               0.003565,               0.003565
                     68,                 1.5113,                 0.8039,                 1.3936,                 1.5621,                0.91474,                 1.3918,                 0.9247,                0.84827,                0.92398,                0.54057,                 1.4664,                0.68626,                 1.4819,                 1.5061,                0.68281,                 1.4931,               0.003466,               0.003466,               0.003466
                     69,                 1.5055,                0.79873,                 1.3977,                 1.5591,                0.90846,                 1.3965,                0.92259,                0.84475,                0.92381,                0.54089,                 1.4655,                0.68499,                 1.4813,                 1.5041,                0.68378,                 1.4926,               0.003367,               0.003367,               0.003367
                     70,                 1.5027,                0.79573,                  1.391,                 1.5544,                0.90347,                 1.3895,                0.92372,                0.84744,                0.92357,                0.54081,                  1.466,                0.68365,                 1.4815,                 1.5045,                0.68051,                 1.4927,               0.003268,               0.003268,               0.003268
                     71,                 1.5056,                0.79139,                 1.3907,                 1.5578,                0.89611,                 1.3891,                0.92748,                 0.8456,                0.92583,                0.54152,                 1.4659,                0.68254,                  1.481,                 1.5045,                0.67787,                 1.4926,               0.003169,               0.003169,               0.003169
                     72,                 1.4962,                0.78914,                  1.387,                 1.5492,                0.89848,                 1.3858,                0.93046,                 0.8457,                0.92515,                0.54174,                 1.4655,                0.68197,                 1.4808,                 1.5031,                0.67664,                 1.4927,                0.00307,                0.00307,                0.00307
                     73,                 1.4961,                0.79139,                 1.3901,                 1.5438,                0.90862,                  1.388,                0.93019,                0.84605,                 0.9257,                0.54189,                 1.4655,                0.68148,                 1.4808,                 1.5044,                0.67165,                 1.4932,               0.002971,               0.002971,               0.002971
                     74,                  1.493,                0.78229,                 1.3859,                 1.5448,                0.89426,                 1.3849,                 0.9309,                0.84605,                0.92456,                0.54152,                 1.4654,                0.68053,                 1.4804,                 1.5058,                0.67181,                 1.4939,               0.002872,               0.002872,               0.002872
                     75,                 1.4904,                0.78703,                 1.3846,                  1.542,                0.90387,                 1.3825,                0.93302,                0.84605,                0.92473,                0.54171,                 1.4651,                0.68013,                 1.4802,                 1.5064,                0.67146,                 1.4944,               0.002773,               0.002773,               0.002773
                     76,                 1.4863,                0.77822,                 1.3818,                 1.5338,                0.89736,                 1.3775,                0.92815,                0.84566,                0.92408,                0.54158,                 1.4648,                0.67952,                 1.4799,                 1.5051,                0.66994,                  1.495,               0.002674,               0.002674,               0.002674
                     77,                 1.4914,                 0.7765,                 1.3839,                 1.5363,                0.89106,                  1.379,                0.93473,                 0.8447,                0.92459,                 0.5433,                 1.4646,                0.67912,                 1.4796,                 1.5051,                0.66734,                  1.494,               0.002575,               0.002575,               0.002575
                     78,                 1.4776,                0.76965,                 1.3745,                 1.5237,                0.88677,                  1.372,                 0.9328,                0.84604,                0.92412,                0.54263,                 1.4644,                0.67829,                 1.4795,                 1.5027,                0.67162,                 1.4921,               0.002476,               0.002476,               0.002476
                     79,                   1.48,                0.77248,                  1.375,                 1.5299,                 0.8902,                 1.3727,                0.92638,                0.85147,                0.92477,                0.54311,                  1.464,                0.67794,                 1.4792,                 1.5039,                0.66847,                 1.4924,               0.002377,               0.002377,               0.002377
                     80,                 1.4815,                0.77238,                 1.3812,                 1.5274,                0.88843,                 1.3782,                0.93006,                0.85237,                0.92493,                0.54384,                 1.4638,                0.67771,                  1.479,                 1.5041,                0.66846,                 1.4918,               0.002278,               0.002278,               0.002278
                     81,                 1.4725,                0.76582,                 1.3781,                 1.5243,                0.87121,                 1.3769,                0.92563,                0.85147,                0.92467,                0.54332,                 1.4637,                0.67703,                 1.4787,                 1.5026,                0.67032,                 1.4898,               0.002179,               0.002179,               0.002179
                     82,                 1.4738,                0.76451,                 1.3723,                 1.5182,                0.88062,                 1.3677,                0.92646,                0.85327,                0.92461,                0.54255,                 1.4643,                0.67627,                 1.4792,                 1.5019,                0.67263,                 1.4886,                0.00208,                0.00208,                0.00208
                     83,                 1.4692,                0.76409,                 1.3697,                 1.5179,                0.86929,                 1.3672,                0.93045,                0.85156,                0.92511,                 0.5427,                 1.4638,                0.67595,                 1.4789,                  1.502,                0.67223,                 1.4889,               0.001981,               0.001981,               0.001981
                     84,                 1.4593,                0.75637,                 1.3659,                 1.5093,                0.86038,                 1.3652,                 0.9278,                0.85284,                 0.9254,                0.54299,                 1.4636,                0.67527,                 1.4786,                 1.5021,                0.66748,                 1.4897,               0.001882,               0.001882,               0.001882
                     85,                 1.4633,                0.75516,                 1.3703,                 1.5109,                0.86598,                 1.3697,                0.92929,                0.85237,                0.92583,                0.54378,                  1.463,                0.67476,                  1.478,                 1.5023,                0.66552,                 1.4897,               0.001783,               0.001783,               0.001783
                     86,                 1.4612,                0.75799,                 1.3658,                 1.5106,                0.86627,                 1.3638,                0.93467,                0.85261,                0.92612,                0.54409,                 1.4624,                0.67445,                 1.4777,                 1.5019,                0.66415,                 1.4894,               0.001684,               0.001684,               0.001684
                     87,                 1.4561,                0.75414,                 1.3631,                  1.509,                0.85617,                 1.3617,                0.93372,                0.85229,                 0.9262,                0.54407,                 1.4621,                0.67419,                 1.4774,                 1.5009,                 0.6642,                 1.4886,               0.001585,               0.001585,               0.001585
                     88,                 1.4519,                0.74589,                 1.3683,                 1.4981,                0.85219,                 1.3648,                0.93442,                0.85011,                0.92594,                0.54442,                  1.462,                0.67383,                 1.4772,                 1.5009,                0.66394,                 1.4888,               0.001486,               0.001486,               0.001486
                     89,                 1.4442,                 0.7448,                  1.358,                 1.4908,                0.84806,                 1.3552,                0.93105,                0.85344,                0.92602,                0.54445,                 1.4616,                0.67353,                 1.4769,                 1.5006,                0.66464,                 1.4885,               0.001387,               0.001387,               0.001387
                     90,                 1.4475,                0.74567,                 1.3605,                 1.4965,                0.85495,                 1.3585,                0.93094,                0.85553,                0.92646,                0.54496,                  1.461,                 0.6733,                 1.4764,                 1.5002,                0.66474,                 1.4881,               0.001288,               0.001288,               0.001288
                     91,                   1.41,                0.69173,                 1.4289,                 1.4482,                0.70922,                 1.4342,                0.93178,                0.85711,                0.92629,                0.54572,                 1.4608,                0.67295,                 1.4764,                 1.4994,                0.66357,                 1.4874,               0.001189,               0.001189,               0.001189
                     92,                 1.3959,                0.68305,                 1.4231,                 1.4354,                0.69928,                  1.428,                0.93254,                0.85495,                0.92638,                0.54597,                 1.4606,                0.67267,                 1.4763,                 1.4985,                0.66442,                 1.4877,                0.00109,                0.00109,                0.00109
                     93,                 1.3902,                0.67862,                 1.4133,                 1.4292,                0.69259,                 1.4192,                0.93047,                0.85508,                0.92625,                0.54572,                 1.4604,                0.67275,                 1.4761,                 1.4991,                 0.6629,                 1.4887,               0.000991,               0.000991,               0.000991
                     94,                 1.3891,                0.67252,                 1.4122,                 1.4313,                0.67874,                 1.4204,                0.92636,                0.85758,                0.92656,                0.54604,                 1.4604,                 0.6723,                  1.476,                 1.4971,                0.66474,                 1.4876,               0.000892,               0.000892,               0.000892
                     95,                  1.384,                0.66851,                 1.4123,                 1.4266,                0.67662,                 1.4201,                0.92462,                0.85914,                0.92622,                0.54612,                 1.4602,                0.67195,                 1.4758,                 1.4975,                0.66401,                 1.4876,               0.000793,               0.000793,               0.000793
                     96,                 1.3813,                0.66517,                 1.4096,                 1.4219,                0.67375,                 1.4163,                0.93114,                0.85418,                0.92645,                0.54655,                 1.4601,                0.67144,                 1.4758,                 1.4978,                0.66355,                 1.4874,               0.000694,               0.000694,               0.000694
                     97,                 1.3737,                 0.6596,                 1.4037,                 1.4169,                 0.6679,                  1.411,                0.93034,                0.85418,                0.92632,                0.54642,                 1.4596,                0.67089,                 1.4755,                 1.4973,                0.66307,                 1.4873,               0.000595,               0.000595,               0.000595
                     98,                 1.3733,                0.66239,                 1.4067,                  1.417,                0.67355,                 1.4148,                0.93006,                0.85598,                0.92557,                0.54624,                 1.4597,                0.67044,                 1.4755,                 1.4971,                0.66134,                 1.4872,               0.000496,               0.000496,               0.000496
                     99,                 1.3681,                0.65831,                 1.4005,                 1.4091,                0.66991,                 1.4083,                0.92871,                0.85643,                0.92541,                0.54602,                 1.4593,                   0.67,                 1.4753,                 1.4972,                0.66092,                 1.4877,               0.000397,               0.000397,               0.000397
                    100,                 1.3642,                 0.6549,                 1.3994,                 1.4047,                  0.669,                 1.4057,                 0.9283,                0.85643,                0.92546,                 0.5453,                 1.4591,                0.66972,                 1.4751,                 1.4954,                0.66107,                 1.4873,               0.000298,               0.000298,               0.000298
