                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.4919,                0.79145,                   1.38,                 1.5449,                0.88154,                 1.3806,                0.71599,                0.45801,                0.51691,                0.25904,                 2.0529,                 1.9081,                 2.0105,                  1.965,                 2.2381,                 1.9308,               0.004159,               0.004159,               0.004159
                     62,                 1.4897,                0.79027,                 1.3823,                 1.5449,                0.87986,                  1.385,                0.72256,                0.45953,                0.52029,                  0.261,                 2.0528,                 1.8901,                  2.009,                 1.9636,                 2.2191,                 1.9287,                0.00406,                0.00406,                0.00406
                     63,                 1.4818,                0.78673,                 1.3781,                   1.54,                0.87302,                 1.3807,                0.72217,                0.46414,                0.52391,                0.26329,                 2.0416,                 1.8796,                 1.9971,                 1.9512,                 2.2065,                 1.9162,               0.003961,               0.003961,               0.003961
                     64,                 1.4859,                0.78345,                  1.378,                 1.5414,                0.87727,                 1.3807,                0.73407,                 0.4655,                0.52696,                0.26536,                 2.0354,                 1.8728,                 1.9924,                 1.9439,                 2.2002,                 1.9109,               0.003862,               0.003862,               0.003862
                     65,                 1.4798,                0.78424,                 1.3757,                 1.5383,                0.87005,                 1.3788,                0.73734,                0.46927,                 0.5316,                0.26826,                 2.0345,                 1.8637,                 1.9918,                 1.9446,                 2.1908,                 1.9123,               0.003763,               0.003763,               0.003763
                     66,                 1.4772,                0.77733,                 1.3709,                 1.5354,                0.85462,                 1.3736,                0.73293,                0.46806,                0.53022,                0.26756,                 2.0383,                 1.8737,                 1.9944,                 1.9484,                 2.2069,                 1.9157,               0.003664,               0.003664,               0.003664
                     67,                 1.4734,                0.77823,                 1.3721,                 1.5343,                0.86816,                 1.3753,                0.73142,                 0.4706,                 0.5315,                0.26837,                 2.0423,                 1.8756,                 1.9971,                 1.9513,                 2.2085,                 1.9178,               0.003565,               0.003565,               0.003565
                     68,                 1.4677,                0.77042,                 1.3663,                 1.5277,                0.85299,                 1.3702,                 0.7354,                0.47014,                0.53154,                0.26808,                 2.0424,                  1.882,                 1.9964,                  1.951,                 2.2161,                 1.9166,               0.003466,               0.003466,               0.003466
                     69,                 1.4719,                0.77642,                 1.3762,                 1.5266,                0.86399,                  1.377,                0.74103,                0.46841,                0.53147,                0.26784,                 2.0438,                 1.8812,                  1.997,                 1.9537,                 2.2136,                  1.918,               0.003367,               0.003367,               0.003367
                     70,                 1.4677,                0.77087,                 1.3687,                 1.5278,                 0.8493,                 1.3723,                0.74833,                0.46705,                0.53307,                0.26882,                 2.0476,                 1.8764,                 2.0005,                 1.9555,                 2.2094,                 1.9202,               0.003268,               0.003268,               0.003268
                     71,                 1.4578,                0.76804,                 1.3643,                 1.5162,                0.84561,                 1.3675,                0.74557,                0.46943,                0.53445,                 0.2694,                 2.0482,                 1.8712,                 2.0018,                 1.9563,                 2.2036,                 1.9224,               0.003169,               0.003169,               0.003169
                     72,                 1.4599,                0.76837,                 1.3658,                 1.5215,                0.84286,                   1.37,                0.74568,                 0.4687,                0.53462,                0.26911,                 2.0522,                 1.8685,                 2.0057,                 1.9604,                 2.2008,                 1.9266,                0.00307,                0.00307,                0.00307
                     73,                 1.4584,                0.76403,                 1.3681,                 1.5138,                0.84355,                 1.3691,                0.74967,                0.46893,                 0.5364,                0.27025,                 2.0501,                 1.8641,                 2.0044,                 1.9603,                 2.1946,                 1.9264,               0.002971,               0.002971,               0.002971
                     74,                 1.4611,                0.76637,                 1.3678,                  1.518,                 0.8495,                   1.37,                0.74863,                0.47197,                0.53843,                0.27117,                 2.0478,                  1.859,                 2.0019,                 1.9596,                 2.1858,                 1.9245,               0.002872,               0.002872,               0.002872
                     75,                 1.4509,                0.75307,                 1.3601,                 1.5085,                0.82825,                 1.3633,                0.74837,                0.47304,                0.53915,                0.27138,                 2.0519,                  1.859,                 2.0051,                 1.9637,                 2.1848,                 1.9279,               0.002773,               0.002773,               0.002773
