                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.5055,                0.79873,                 1.3977,                 1.5591,                0.90846,                 1.3965,                0.89859,                    0.8,                0.88091,                0.49352,                  1.561,                0.82205,                 1.5474,                 1.5998,                0.86079,                  1.559,               0.003367,               0.003367,               0.003367
                     70,                 1.5027,                0.79573,                  1.391,                 1.5544,                0.90347,                 1.3895,                0.89633,                0.80497,                0.88209,                0.49419,                  1.561,                0.81975,                 1.5471,                 1.6025,                0.85757,                   1.56,               0.003268,               0.003268,               0.003268
                     71,                 1.5056,                0.79139,                 1.3907,                 1.5578,                0.89611,                 1.3891,                0.89501,                0.80587,                0.88187,                0.49441,                 1.5598,                0.81813,                 1.5457,                 1.6026,                 0.8541,                 1.5602,               0.003169,               0.003169,               0.003169
                     72,                 1.4962,                0.78914,                  1.387,                 1.5492,                0.89848,                 1.3858,                0.90178,                0.80412,                0.88113,                0.49454,                 1.5602,                0.81884,                  1.546,                 1.6014,                0.85851,                 1.5585,                0.00307,                0.00307,                0.00307
                     73,                 1.4961,                0.79139,                 1.3901,                 1.5438,                0.90862,                  1.388,                0.89998,                0.80837,                0.88295,                0.49356,                 1.5598,                0.81909,                 1.5454,                 1.6032,                0.85139,                 1.5588,               0.002971,               0.002971,               0.002971
                     74,                  1.493,                0.78229,                 1.3859,                 1.5448,                0.89426,                 1.3849,                0.89788,                0.80975,                0.88398,                0.49397,                   1.56,                0.81717,                 1.5454,                 1.6036,                 0.8485,                 1.5581,               0.002872,               0.002872,               0.002872
                     75,                 1.4904,                0.78703,                 1.3846,                  1.542,                0.90387,                 1.3825,                0.90019,                0.81025,                0.88439,                0.49353,                 1.5613,                0.81802,                 1.5462,                 1.6054,                0.84672,                 1.5595,               0.002773,               0.002773,               0.002773
                     76,                 1.4863,                0.77822,                 1.3818,                 1.5338,                0.89736,                 1.3775,                 0.8941,                0.80805,                0.88329,                 0.4938,                 1.5621,                0.81821,                 1.5466,                 1.6049,                0.84623,                 1.5595,               0.002674,               0.002674,               0.002674
                     77,                 1.4914,                 0.7765,                 1.3839,                 1.5363,                0.89106,                  1.379,                0.89312,                0.80732,                0.88217,                0.49406,                 1.5624,                0.81807,                 1.5469,                 1.6037,                0.84959,                 1.5588,               0.002575,               0.002575,               0.002575
                     78,                 1.4776,                0.76965,                 1.3745,                 1.5237,                0.88677,                  1.372,                0.89283,                0.80587,                0.88178,                0.49343,                 1.5632,                0.81775,                 1.5474,                 1.6062,                0.85096,                 1.5612,               0.002476,               0.002476,               0.002476
                     79,                   1.48,                0.77248,                  1.375,                 1.5299,                 0.8902,                 1.3727,                 0.8981,                0.80722,                0.88342,                0.49369,                 1.5635,                 0.8162,                 1.5474,                 1.6051,                0.84942,                 1.5617,               0.002377,               0.002377,               0.002377
                     80,                 1.4815,                0.77238,                 1.3812,                 1.5274,                0.88843,                 1.3782,                0.89331,                0.80722,                0.88321,                0.49452,                 1.5632,                0.81465,                 1.5473,                 1.6039,                0.84965,                 1.5607,               0.002278,               0.002278,               0.002278
                     81,                 1.4725,                0.76582,                 1.3781,                 1.5243,                0.87121,                 1.3769,                0.89646,                0.80523,                0.88357,                0.49415,                 1.5628,                 0.8133,                  1.547,                 1.6039,                0.84963,                 1.5608,               0.002179,               0.002179,               0.002179
                     82,                 1.4738,                0.76451,                 1.3723,                 1.5182,                0.88062,                 1.3677,                0.89837,                0.80497,                0.88368,                0.49452,                  1.562,                0.81154,                 1.5466,                 1.6037,                0.84786,                 1.5603,                0.00208,                0.00208,                0.00208
                     83,                 1.4692,                0.76409,                 1.3697,                 1.5179,                0.86929,                 1.3672,                0.89775,                0.80862,                0.88448,                0.49466,                 1.5615,                0.81086,                  1.546,                 1.6029,                 0.8483,                 1.5599,               0.001981,               0.001981,               0.001981
                     84,                 1.4593,                0.75637,                 1.3659,                 1.5093,                0.86038,                 1.3652,                0.89944,                0.80993,                0.88417,                0.49449,                 1.5607,                0.81027,                 1.5453,                 1.6033,                0.84875,                 1.5592,               0.001882,               0.001882,               0.001882
                     85,                 1.4633,                0.75516,                 1.3703,                 1.5109,                0.86598,                 1.3697,                0.89607,                0.80993,                0.88432,                0.49493,                 1.5605,                0.80932,                 1.5451,                 1.6022,                0.84913,                 1.5586,               0.001783,               0.001783,               0.001783
                     86,                 1.4612,                0.75799,                 1.3658,                 1.5106,                0.86627,                 1.3638,                0.89569,                0.81019,                0.88383,                0.49481,                 1.5601,                0.80882,                 1.5448,                 1.6037,                0.84917,                 1.5594,               0.001684,               0.001684,               0.001684
                     87,                 1.4561,                0.75414,                 1.3631,                  1.509,                0.85617,                 1.3617,                0.89401,                0.81038,                0.88471,                0.49495,                 1.5599,                0.80794,                 1.5446,                 1.6038,                0.84825,                 1.5594,               0.001585,               0.001585,               0.001585
                     88,                 1.4519,                0.74589,                 1.3683,                 1.4981,                0.85219,                 1.3648,                0.89885,                0.80903,                0.88531,                0.49553,                   1.56,                 0.8075,                 1.5444,                 1.6033,                0.84745,                 1.5595,               0.001486,               0.001486,               0.001486
                     89,                 1.4442,                 0.7448,                  1.358,                 1.4908,                0.84806,                 1.3552,                0.89914,                0.80901,                0.88585,                0.49606,                   1.56,                0.80746,                 1.5445,                 1.6041,                0.84461,                 1.5593,               0.001387,               0.001387,               0.001387
                     90,                 1.4475,                0.74567,                 1.3605,                 1.4965,                0.85495,                 1.3585,                0.89969,                0.80948,                0.88627,                0.49643,                 1.5602,                0.80746,                 1.5447,                 1.6043,                0.84409,                  1.559,               0.001288,               0.001288,               0.001288
                     91,                   1.41,                0.69173,                 1.4289,                 1.4482,                0.70922,                 1.4342,                0.90063,                0.80948,                0.88667,                0.49672,                 1.5588,                0.80598,                 1.5438,                 1.6037,                0.84178,                 1.5583,               0.001189,               0.001189,               0.001189
                     92,                 1.3959,                0.68305,                 1.4231,                 1.4354,                0.69928,                  1.428,                0.90147,                0.81368,                0.88682,                0.49761,                 1.5577,                0.80456,                  1.543,                  1.603,                0.84109,                 1.5576,                0.00109,                0.00109,                0.00109
                     93,                 1.3902,                0.67862,                 1.4133,                 1.4292,                0.69259,                 1.4192,                 0.9039,                0.81102,                0.88695,                0.49825,                 1.5565,                 0.8027,                 1.5421,                 1.6001,                0.84123,                 1.5561,               0.000991,               0.000991,               0.000991
                     94,                 1.3891,                0.67252,                 1.4122,                 1.4313,                0.67874,                 1.4204,                0.90433,                 0.8158,                0.88738,                0.49859,                 1.5551,                0.80104,                 1.5409,                 1.5996,                0.83806,                  1.555,               0.000892,               0.000892,               0.000892
                     95,                  1.384,                0.66851,                 1.4123,                 1.4266,                0.67662,                 1.4201,                0.90715,                0.81264,                0.88732,                0.49802,                  1.554,                0.79989,                 1.5401,                 1.5992,                0.83659,                 1.5546,               0.000793,               0.000793,               0.000793
                     96,                 1.3813,                0.66517,                 1.4096,                 1.4219,                0.67375,                 1.4163,                0.90151,                0.81407,                 0.8876,                0.49868,                 1.5529,                0.79894,                 1.5393,                 1.5977,                0.83539,                 1.5542,               0.000694,               0.000694,               0.000694
                     97,                 1.3737,                 0.6596,                 1.4037,                 1.4169,                 0.6679,                  1.411,                0.90442,                0.81598,                0.88827,                0.49898,                 1.5517,                0.79727,                 1.5385,                 1.5971,                0.83343,                 1.5537,               0.000595,               0.000595,               0.000595
                     98,                 1.3733,                0.66239,                 1.4067,                  1.417,                0.67355,                 1.4148,                0.90365,                 0.8149,                0.88811,                0.49938,                 1.5506,                0.79616,                 1.5377,                 1.5961,                0.83202,                 1.5532,               0.000496,               0.000496,               0.000496
                     99,                 1.3681,                0.65831,                 1.4005,                 1.4091,                0.66991,                 1.4083,                0.89764,                0.81556,                0.88764,                0.49973,                 1.5495,                0.79488,                  1.537,                 1.5944,                0.83103,                 1.5526,               0.000397,               0.000397,               0.000397
                    100,                 1.3642,                 0.6549,                 1.3994,                 1.4047,                  0.669,                 1.4057,                0.90214,                  0.814,                0.88808,                0.50006,                 1.5486,                0.79393,                 1.5365,                 1.5919,                0.83095,                 1.5504,               0.000298,               0.000298,               0.000298
